fecha,nombre_dia,ventas,compra,Inventario
2022-01-01,Saturday,336,0,384
2022-01-02,Sunday,0,0,384
2022-01-03,Monday,6,720,1098
2022-01-04,Tuesday,22,0,1076
2022-01-05,Wednesday,62,0,1014
2022-01-06,Thursday,127,0,887
2022-01-07,Friday,224,0,663
2022-01-08,Saturday,196,0,467
2022-01-09,Sunday,0,0,467
2022-01-10,Monday,4,720,1183
2022-01-11,Tuesday,28,0,1155
2022-01-12,Wednesday,45,0,1110
2022-01-13,Thursday,159,0,951
2022-01-14,Friday,166,0,785
2022-01-15,Saturday,218,0,567
2022-01-16,Sunday,0,0,567
2022-01-17,Monday,6,720,1281
2022-01-18,Tuesday,32,0,1249
2022-01-19,Wednesday,38,0,1211
2022-01-20,Thursday,195,0,1016
2022-01-21,Friday,249,0,767
2022-01-22,Saturday,116,0,651
2022-01-23,Sunday,0,0,651
2022-01-24,Monday,5,720,1366
2022-01-25,Tuesday,22,0,1344
2022-01-26,Wednesday,37,0,1307
2022-01-27,Thursday,202,0,1105
2022-01-28,Friday,218,0,887
2022-01-29,Saturday,210,0,677
2022-01-30,Sunday,0,0,677
2022-01-31,Monday,3,720,1394
2022-02-01,Tuesday,22,0,1372
2022-02-02,Wednesday,35,0,1337
2022-02-03,Thursday,201,0,1136
2022-02-04,Friday,270,0,866
2022-02-05,Saturday,299,0,567
2022-02-06,Sunday,0,0,567
2022-02-07,Monday,5,720,1282
2022-02-08,Tuesday,27,0,1255
2022-02-09,Wednesday,40,0,1215
2022-02-10,Thursday,76,0,1139
2022-02-11,Friday,258,0,881
2022-02-12,Saturday,200,0,681
2022-02-13,Sunday,0,0,681
2022-02-14,Monday,3,720,1398
2022-02-15,Tuesday,18,0,1380
2022-02-16,Wednesday,56,0,1324
2022-02-17,Thursday,228,0,1096
2022-02-18,Friday,164,0,932
2022-02-19,Saturday,221,0,711
2022-02-20,Sunday,0,0,711
2022-02-21,Monday,6,720,1425
2022-02-22,Tuesday,25,0,1400
2022-02-23,Wednesday,45,0,1355
2022-02-24,Thursday,161,0,1194
2022-02-25,Friday,232,0,962
2022-02-26,Saturday,129,0,833
2022-02-27,Sunday,0,0,833
2022-02-28,Monday,6,720,1547
2022-03-01,Tuesday,21,0,1526
2022-03-02,Wednesday,38,0,1488
